date,ward_id,hotspots,hotspots_48h,pm25_coverage,pm25_mean,pm25_mean_7d,pm25_slope_7d,humidity_mean,humidity_7d,humidity_trend_7d,temp_max,wind_max,precipitation_sum,days_since_rain,green_cover_pct,market_flag,income_ord,festival_window,doy_sin,doy_cos,burn_day,split_year
2023-05-18,wagholi,0,1.0,1.0,19.658333333333335,25.779761904761905,-2.179761904761905,52,50.285714285714285,0.8571428571428571,40.2,22.9,0.0,11,8,1,0,0,0.6944521021088763,-0.719538934232584,1,2023
2023-05-19,wagholi,1,1.0,1.0,17.7,23.514880952380953,-2.2648809523809517,50,51.714285714285715,1.4285714285714286,41.1,23.4,0.0,12,8,1,0,0,0.6819721490904629,-0.7313781428679254,1,2023
2023-05-20,wagholi,0,0.0,1.0,21.941666666666666,21.151190476190475,-2.363690476190476,52,52.57142857142857,0.8571428571428571,38.7,20.5,0.0,13,8,1,0,0,0.6692903895412567,-0.7430009249440493,0,2023
2023-05-21,wagholi,0,0.0,1.0,29.604166666666668,20.81607142857143,-0.33511904761904737,57,53.142857142857146,0.5714285714285714,38.4,21.5,0.0,14,8,1,0,0,0.6564105761979381,-0.7544038410927472,0,2023
2023-05-22,wagholi,0,0.0,1.0,22.1375,22.398809523809522,1.5827380952380952,53,54.57142857142857,1.4285714285714286,39.6,23.0,0.0,15,8,1,0,0,0.6433365204044917,-0.765583517007675,0,2023
2023-05-23,wagholi,0,0.0,1.0,21.0,22.20714285714286,-0.19166666666666693,46,54.0,-0.5714285714285714,40.4,25.9,0.0,16,8,1,0,0,0.6300720909843687,-0.7765366444428655,0,2023
2023-05-24,wagholi,0,0.0,1.0,20.779166666666665,21.813690476190477,-0.39345238095238094,54,52.142857142857146,-1.8571428571428572,39.0,21.0,0.0,17,8,1,0,0,0.6166212130956382,-0.7872599821916922,0,2023
2023-05-25,wagholi,0,0.0,1.0,14.870833333333332,21.831547619047623,0.017857142857142856,58,52.0,-0.14285714285714285,36.4,24.1,0.0,18,8,1,0,0,0.6029878670694714,-0.7977503570459932,0,2023
2023-05-26,wagholi,0,0.0,1.0,14.083333333333334,21.14761904761905,-0.6839285714285719,63,52.857142857142854,0.8571428571428571,35.5,23.6,0.1,19,8,1,0,0,0.5891760872322963,-0.8080046647350754,0,2023
2023-05-27,wagholi,0,0.0,1.0,19.579166666666666,20.63095238095238,-0.5166666666666665,58,54.714285714285715,1.8571428571428572,36.2,20.3,0.0,20,8,1,0,0,0.5751899607119775,-0.8180198708443174,0,2023
2023-05-28,wagholi,0,0.0,1.0,19.104166666666668,20.29345238095238,-0.3375000000000001,55,55.57142857142857,0.8571428571428571,38.2,21.3,0.0,21,8,1,0,0,0.5610336262283677,-0.8277930117131022,0,2023
2023-05-29,wagholi,0,0.0,1.0,18.879166666666666,18.79345238095238,-1.5,58,55.285714285714285,-0.2857142857142857,40.0,20.3,0.0,22,8,1,0,0,0.5467112728685939,-0.8373211953118121,0,2023
2023-05-30,wagholi,0,0.0,1.0,19.808333333333334,18.327976190476193,-0.46547619047619043,55,56.0,0.7142857142857143,40.0,24.1,0.0,23,8,1,0,0,0.5322271388474397,-0.8466016020976267,0,2023
2023-05-31,wagholi,0,0.0,1.0,28.77916666666667,18.157738095238095,-0.17023809523809522,52,57.285714285714285,1.2857142857142858,40.5,23.5,0.0,24,8,1,0,0,0.5175855102531889,-0.8556314858488706,0,2023
2023-06-01,wagholi,0,0.0,1.0,24.454166666666666,19.30059523809524,1.1428571428571435,47,57.0,-0.2857142857142857,40.9,22.0,0.0,25,8,1,0,0,0.5027907197793043,-0.8644081744776648,0,2023
2023-06-02,wagholi,0,0.0,1.0,23.1875,20.669642857142858,1.369047619047619,56,55.42857142857143,-1.5714285714285714,37.1,20.6,0.0,26,8,1,0,0,0.4878471454423119,-0.8729290708206411,0,2023
2023-06-03,wagholi,0,0.0,1.0,19.829166666666666,21.970238095238095,1.300595238095238,60,54.42857142857143,-1.0,37.6,19.5,0.1,27,8,1,0,0,0.47275920928627757,-0.881191653407483,0,2023
2023-06-04,wagholi,0,0.0,1.0,19.708333333333332,22.005952380952383,0.03571428571428571,65,54.714285714285715,0.2857142857142857,36.1,23.7,4.6,0,8,1,0,0,0.4575313760742512,-0.8891934772070711,0,2023
2023-06-05,wagholi,0,0.0,1.0,30.266666666666666,22.0922619047619,0.08630952380952348,63,56.142857142857146,1.4285714285714286,36.2,19.9,0.3,1,8,1,0,0,0.44216815196707204,-0.8969321743510065,0,2023
2023-06-06,wagholi,0,0.0,1.0,23.2625,23.71904761904762,1.6267857142857143,59,56.857142857142854,0.7142857142857143,37.2,20.1,0.0,2,8,1,0,0,0.42667408318992467,-0.9044054548343001,0,2023
2023-06-07,wagholi,0,0.0,1.0,20.058333333333334,24.212500000000002,0.4934523809523808,55,57.42857142857143,0.5714285714285714,37.7,22.0,0.0,3,8,1,0,0,0.4110537546870351,-0.9116111071930239,0,2023
2023-06-08,wagholi,0,0.0,1.0,11.125,22.966666666666665,-1.2458333333333336,60,57.857142857142854,0.42857142857142855,37.6,22.2,0.4,4,8,1,0,0,0.3953117887649151,-0.9185469991587165,0,2023
2023-06-09,wagholi,0,0.0,1.0,7.5125,21.0625,-1.9041666666666666,59,59.714285714285715,1.8571428571428572,38.2,22.5,0.1,5,8,1,0,0,0.37945284372454435,-0.925211078289358,0,2023
2023-06-10,wagholi,0,0.0,1.0,6.991666666666667,18.823214285714283,-2.2392857142857143,59,60.142857142857146,0.42857142857142855,36.9,22.5,9.8,0,8,1,0,0,0.36348161248290634,-0.9316013725767187,0,2023
2023-06-11,wagholi,0,0.0,1.0,9.487499999999999,16.989285714285714,-1.8339285714285711,59,60.0,-0.14285714285714285,36.0,23.7,1.4,0,8,1,0,0,0.3474028211842774,-0.9377159910299093,0,2023
2023-06-12,wagholi,0,0.0,1.0,10.341666666666667,15.529166666666667,-1.4601190476190475,55,59.142857142857146,-0.8571428571428571,35.9,24.6,0.2,1,8,1,0,0,0.3312212278016865,-0.9435531242349544,0,2023
